roman,titreLabel,date_de_publication,nombre_de_pages,authorLabel
http://www.wikidata.org/entity/Q619036,,,,Izuki Kogyoku
http://www.wikidata.org/entity/Q824338,Travnička hronika,1945-01-01T00:00:00Z,,Ivo Andrić
http://www.wikidata.org/entity/Q824338,Bosnian Chronicle,1945-01-01T00:00:00Z,,Ivo Andrić
http://www.wikidata.org/entity/Q824338,Travnička hronika,1988-01-01T00:00:00Z,,Ivo Andrić
http://www.wikidata.org/entity/Q824338,Bosnian Chronicle,1988-01-01T00:00:00Z,,Ivo Andrić
http://www.wikidata.org/entity/Q1213328,,2007-01-01T00:00:00Z,,Bernhard Schlink
http://www.wikidata.org/entity/Q1342068,,1273-01-01T00:00:00Z,,Konrad von Würzburg
http://www.wikidata.org/entity/Q1453053,Island of the Blue Dolphins,1960-01-01T00:00:00Z,,Scott O'Dell
http://www.wikidata.org/entity/Q1835834,,1998-01-01T00:00:00Z,,Maryna and Serhiy Dyachenko
http://www.wikidata.org/entity/Q2280031,Prilli i Thyer,1980-01-01T00:00:00Z,291,Ismail Kadare
http://www.wikidata.org/entity/Q2344193,,,,
http://www.wikidata.org/entity/Q2606729,,1964-01-01T00:00:00Z,,Jim Thompson
http://www.wikidata.org/entity/Q2934831,Camille,2000-08-24T00:00:00Z,,Anthony Palou
http://www.wikidata.org/entity/Q3139595,Hombres de maíz,1949-01-01T00:00:00Z,,Miguel Ángel Asturias
http://www.wikidata.org/entity/Q3201512,L'Affaire Lerouge,1866-01-01T00:00:00Z,583,Émile Gaboriau
http://www.wikidata.org/entity/Q3203517,"The History of Henry Esmond, Esq., A Colonel in the Service of Her Majesty Queen Anne",1852-01-01T00:00:00Z,,William Makepeace Thackeray
http://www.wikidata.org/entity/Q3236059,I Viceré,1894-01-01T00:00:00Z,,Federico de Roberto
http://www.wikidata.org/entity/Q3625396,,1981-01-01T00:00:00Z,,Manuel Vázquez Montalbán
http://www.wikidata.org/entity/Q3631524,,1995-01-01T00:00:00Z,,Andy McNab
http://www.wikidata.org/entity/Q3651053,,1907-01-01T00:00:00Z,,Luigi Natoli
http://www.wikidata.org/entity/Q3665658,,1983-01-01T00:00:00Z,,John Maddox Roberts
http://www.wikidata.org/entity/Q3693589,,1930-01-01T00:00:00Z,,Luigi Natoli
http://www.wikidata.org/entity/Q3731278,,2012-01-01T00:00:00Z,,Lilli Gruber
