roman,titreLabel,authorLabel
http://www.wikidata.org/entity/Q619036,,Izuki Kogyoku
http://www.wikidata.org/entity/Q824338,Travnička hronika,Ivo Andrić
http://www.wikidata.org/entity/Q824338,Bosnian Chronicle,Ivo Andrić
http://www.wikidata.org/entity/Q824338,Travnička hronika,Ivo Andrić
http://www.wikidata.org/entity/Q824338,Bosnian Chronicle,Ivo Andrić
http://www.wikidata.org/entity/Q1213328,,Bernhard Schlink
http://www.wikidata.org/entity/Q1342068,,Konrad von Würzburg
http://www.wikidata.org/entity/Q1453053,Island of the Blue Dolphins,Scott O'Dell
http://www.wikidata.org/entity/Q1835834,,Maryna and Serhiy Dyachenko
http://www.wikidata.org/entity/Q2280031,Prilli i Thyer,Ismail Kadare
http://www.wikidata.org/entity/Q2344193,,
http://www.wikidata.org/entity/Q2606729,,Jim Thompson
http://www.wikidata.org/entity/Q2934831,Camille,Anthony Palou
http://www.wikidata.org/entity/Q3139595,Hombres de maíz,Miguel Ángel Asturias
http://www.wikidata.org/entity/Q3201512,L'Affaire Lerouge,Émile Gaboriau
http://www.wikidata.org/entity/Q3203517,"The History of Henry Esmond, Esq., A Colonel in the Service of Her Majesty Queen Anne",William Makepeace Thackeray
http://www.wikidata.org/entity/Q3236059,I Viceré,Federico de Roberto
http://www.wikidata.org/entity/Q3625396,,Manuel Vázquez Montalbán
http://www.wikidata.org/entity/Q3631524,,Andy McNab
http://www.wikidata.org/entity/Q3651053,,Luigi Natoli
http://www.wikidata.org/entity/Q3665658,,John Maddox Roberts
http://www.wikidata.org/entity/Q3693589,,Luigi Natoli
http://www.wikidata.org/entity/Q3731278,,Lilli Gruber
http://www.wikidata.org/entity/Q3790056,,Luigi Natoli
http://www.wikidata.org/entity/Q3790672,,Giulio Leoni
http://www.wikidata.org/entity/Q3790924,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q3791041,,Ben Pastor
http://www.wikidata.org/entity/Q3791288,,Ramón Díaz Eterovic
http://www.wikidata.org/entity/Q3793063,,Augusto De Angelis
http://www.wikidata.org/entity/Q3793225,,Giuseppe Marrazzo
http://www.wikidata.org/entity/Q3793416,,John Russell Fearn
http://www.wikidata.org/entity/Q3793767,,Achille Campanile
http://www.wikidata.org/entity/Q3793775,,Carolly Erickson
http://www.wikidata.org/entity/Q3793958,,Arto Paasilinna
