roman,titreLabel,date_de_publication,nombre_de_pages,authorLabel,image
http://www.wikidata.org/entity/Q3201512,L'Affaire Lerouge,1866-01-01T00:00:00Z,583,Émile Gaboriau,http://commons.wikimedia.org/wiki/Special:FilePath/Gino%20Starace%20-%20L%27Affaire%20Lerouge%20%28%C3%89mile%20Gaboriau%29.jpg
http://www.wikidata.org/entity/Q3203517,"The History of Henry Esmond, Esq., A Colonel in the Service of Her Majesty Queen Anne",1852-01-01T00:00:00Z,,William Makepeace Thackeray,http://commons.wikimedia.org/wiki/Special:FilePath/The%20History%20of%20Henry%20Esmond%201st%20ed.jpg
http://www.wikidata.org/entity/Q3236059,I Viceré,1894-01-01T00:00:00Z,,Federico de Roberto,http://commons.wikimedia.org/wiki/Special:FilePath/I%20Vicer%C3%A8.djvu
http://www.wikidata.org/entity/Q3793775,,2005-01-01T00:00:00Z,,Carolly Erickson,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Antoinette%20of%20Austria%20-%20After%20%C3%89lisabeth%20Vig%C3%A9e-Lebrun.jpg
http://www.wikidata.org/entity/Q3794736,,2012-01-01T00:00:00Z,,Valerio Massimo Manfredi,http://commons.wikimedia.org/wiki/Special:FilePath/Achilles%20Ajax%20dice%20Louvre%20MNB911%20n2.jpg
http://www.wikidata.org/entity/Q4528063,,1925-01-01T00:00:00Z,,Arkadi Avérchenko,http://commons.wikimedia.org/wiki/Special:FilePath/A.Averchenko.%20Shutka%20Metsenata%20%281925%2C%20Prague%29.png
http://www.wikidata.org/entity/Q10259894,,1943-01-01T00:00:00Z,,Zhao Shuli,http://commons.wikimedia.org/wiki/Special:FilePath/1953-01%201953%E5%B9%B4%E6%9C%A8%E5%81%B6%E6%88%8F%E5%B0%8F%E4%BA%8C%E9%BB%91%E7%BB%93%E5%A9%9A.png
http://www.wikidata.org/entity/Q17631903,,1906-01-01T00:00:00Z,,Yambo,http://commons.wikimedia.org/wiki/Special:FilePath/Yambo%20Esploratori%20dell%27infinito%201906.jpg
http://www.wikidata.org/entity/Q18176460,La montagna d'oro,1901-01-01T00:00:00Z,,Emilio Salgari,http://commons.wikimedia.org/wiki/Special:FilePath/Salgari%20La%20Montagna%20d%27oro%201911%20Copertina%20Corrado%20Sarri.jpg
http://www.wikidata.org/entity/Q19523729,Bludné duše,,,Václav Beneš Třebízský,http://commons.wikimedia.org/wiki/Special:FilePath/Z%20ruznych%20dob%20obalka.png
http://www.wikidata.org/entity/Q19530653,Pravý výlet pana Broučka do Měsíce,,,Svatopluk Čech,http://commons.wikimedia.org/wiki/Special:FilePath/PravyVyletPanaBrouckaDoMesice%20titul1.PNG
http://www.wikidata.org/entity/Q22263556,Terre Selvagge,2014-01-01T00:00:00Z,,Sebastiano Vassalli,http://commons.wikimedia.org/wiki/Special:FilePath/Tiepolo%20Vercellae%20Metropolitan.jpg
http://www.wikidata.org/entity/Q24574726,,1923-01-01T00:00:00Z,,Edgar Wallace,http://commons.wikimedia.org/wiki/Special:FilePath/Der%20gr%C3%BCne%20Bogensch%C3%BCtze%20%28Edgar%20Wallace%2C%201982%29.png
http://www.wikidata.org/entity/Q28711587,,1900-01-01T00:00:00Z,,Marian Vayreda i Vila,http://commons.wikimedia.org/wiki/Special:FilePath/Sanch%20Nova%20%281900%29.djvu
http://www.wikidata.org/entity/Q48798438,Season of Crimson Blossoms,2015-01-01T00:00:00Z,,Abubakar Adam Ibrahim,http://commons.wikimedia.org/wiki/Special:FilePath/Season%20of%20Crimson%20Blossoms%20Cover.jpg
